   5.0000 7.8532e+06 5.6457e+06 1.1252e+07 5.9080e+06 1.1024e+07 6.8096e+06 9.0771e+06 8.9339e+06 7.0489e+06 9.0986e+06 5.9080e+06 1.1024e+07 5.9670e+06
   5.2500 7.2626e+06 5.2354e+06 1.0392e+07 5.4643e+06 1.0196e+07 6.3270e+06 8.3535e+06 8.3238e+06 6.4895e+06 8.3856e+06 5.4643e+06 1.0196e+07 5.5743e+06
   5.5000 6.6994e+06 4.8422e+06 9.5729e+06 5.0414e+06 9.4041e+06 5.8625e+06 7.6697e+06 7.7335e+06 5.9605e+06 7.7092e+06 5.0414e+06 9.4041e+06 5.1927e+06
   5.7500 6.1671e+06 4.4689e+06 8.7996e+06 4.6422e+06 8.6545e+06 5.4198e+06 7.0290e+06 7.1679e+06 5.4646e+06 7.0732e+06 4.6422e+06 8.6545e+06 4.8257e+06
   6.0000 5.6678e+06 4.1174e+06 8.0752e+06 4.2680e+06 7.9504e+06 5.0013e+06 6.4329e+06 6.6302e+06 5.0028e+06 6.4793e+06 4.2680e+06 7.9504e+06 4.4754e+06
   6.2500 5.2023e+06 3.7885e+06 7.4004e+06 3.9193e+06 7.2930e+06 4.6084e+06 5.8811e+06 6.1222e+06 4.5753e+06 5.9280e+06 3.9193e+06 7.2930e+06 4.1434e+06
   6.5000 4.7705e+06 3.4823e+06 6.7751e+06 3.5960e+06 6.6825e+06 4.2414e+06 5.3727e+06 5.6453e+06 4.1812e+06 5.4189e+06 3.5960e+06 6.6825e+06 3.8308e+06
   6.7500 4.3716e+06 3.1986e+06 6.1980e+06 3.2975e+06 6.1181e+06 3.9003e+06 4.9059e+06 5.2003e+06 3.8193e+06 4.9504e+06 3.2975e+06 6.1181e+06 3.5382e+06
   7.0000 4.0043e+06 2.9366e+06 5.6673e+06 3.0226e+06 5.5982e+06 3.5844e+06 4.4787e+06 4.7847e+06 3.4879e+06 4.5208e+06 3.0226e+06 5.5982e+06 3.2641e+06
   7.2500 3.6670e+06 2.6953e+06 5.1805e+06 2.7703e+06 5.1207e+06 3.2927e+06 4.0884e+06 4.3987e+06 3.1853e+06 4.1279e+06 2.7703e+06 5.1207e+06 3.0088e+06
   7.5000 3.3580e+06 2.4737e+06 4.7351e+06 2.5391e+06 4.6832e+06 3.0242e+06 3.7327e+06 4.0446e+06 2.9093e+06 3.7692e+06 2.5391e+06 4.6832e+06 2.7742e+06
   7.7500 3.0754e+06 2.2704e+06 4.3282e+06 2.3276e+06 4.2830e+06 2.7774e+06 3.4088e+06 3.7192e+06 2.6580e+06 3.4424e+06 2.3276e+06 4.2830e+06 2.5581e+06
   8.0000 2.8171e+06 2.0843e+06 3.9569e+06 2.1343e+06 3.9176e+06 2.5509e+06 3.1142e+06 3.4182e+06 2.4294e+06 3.1448e+06 2.1343e+06 3.9176e+06 2.3576e+06
   8.2500 2.5814e+06 1.9140e+06 3.6186e+06 1.9579e+06 3.5842e+06 2.3433e+06 2.8464e+06 3.1406e+06 2.2215e+06 2.8741e+06 1.9579e+06 3.5842e+06 2.1720e+06
   8.5000 2.3664e+06 1.7582e+06 3.3105e+06 1.7968e+06 3.2803e+06 2.1532e+06 2.6031e+06 2.8850e+06 2.0326e+06 2.6280e+06 1.7968e+06 3.2803e+06 2.0006e+06
   8.7500 2.1704e+06 1.6160e+06 3.0300e+06 1.6499e+06 3.0035e+06 1.9794e+06 2.3821e+06 2.6506e+06 1.8610e+06 2.4043e+06 1.6499e+06 3.0035e+06 1.8429e+06
   9.0000 1.9918e+06 1.4860e+06 2.7748e+06 1.5160e+06 2.7515e+06 1.8203e+06 2.1813e+06 2.4362e+06 1.7050e+06 2.2011e+06 1.5160e+06 2.7515e+06 1.6983e+06
   9.2500 1.8290e+06 1.3673e+06 2.5425e+06 1.3938e+06 2.5220e+06 1.6749e+06 1.9988e+06 2.2402e+06 1.5633e+06 2.0165e+06 1.3938e+06 2.5220e+06 1.5658e+06
   9.5000 1.6805e+06 1.2589e+06 2.3312e+06 1.2823e+06 2.3131e+06 1.5420e+06 1.8331e+06 2.0614e+06 1.4345e+06 1.8486e+06 1.2823e+06 2.3131e+06 1.4447e+06
   9.7500 1.5452e+06 1.1599e+06 2.1389e+06 1.1806e+06 2.1229e+06 1.4205e+06 1.6824e+06 1.8982e+06 1.3174e+06 1.6961e+06 1.1806e+06 2.1229e+06 1.3338e+06
  10.0000 1.4219e+06 1.0694e+06 1.9640e+06 1.0879e+06 1.9498e+06 1.3094e+06 1.5454e+06 1.7488e+06 1.2108e+06 1.5574e+06 1.0879e+06 1.9498e+06 1.2321e+06
  10.2500 1.3095e+06 9.8676e+05 1.8048e+06 1.0032e+06 1.7921e+06 1.2078e+06 1.4207e+06 1.6122e+06 1.1139e+06 1.4313e+06 1.0032e+06 1.7921e+06 1.1388e+06
  10.5000 1.2068e+06 9.1116e+05 1.6597e+06 9.2579e+05 1.6484e+06 1.1150e+06 1.3072e+06 1.4872e+06 1.0256e+06 1.3164e+06 9.2579e+05 1.6484e+06 1.0532e+06
  10.7500 1.1131e+06 8.4198e+05 1.5274e+06 8.5504e+05 1.5174e+06 1.0299e+06 1.2038e+06 1.3728e+06 9.4511e+05 1.2118e+06 8.5504e+05 1.5174e+06 9.7465e+05
  11.0000 1.0274e+06 7.7861e+05 1.4068e+06 7.9030e+05 1.3978e+06 9.5200e+05 1.1094e+06 1.2679e+06 8.7165e+05 1.1164e+06 7.9030e+05 1.3978e+06 9.0247e+05
  11.2500 9.4892e+05 7.2052e+05 1.2966e+06 7.3099e+05 1.2885e+06 8.8055e+05 1.0233e+06 1.1717e+06 8.0455e+05 1.0293e+06 7.3099e+05 1.2885e+06 8.3611e+05
  11.5000 8.7709e+05 6.6721e+05 1.1958e+06 6.7661e+05 1.1886e+06 8.1499e+05 9.4456e+05 1.0834e+06 7.4320e+05 9.4971e+05 6.7661e+05 1.1886e+06 7.7507e+05
  11.7500 8.1125e+05 6.1826e+05 1.1037e+06 6.2671e+05 1.0972e+06 7.5477e+05 8.7252e+05 1.0024e+06 6.8704e+05 8.7692e+05 6.2671e+05 1.0972e+06 7.1887e+05
  12.0000 7.5099e+05 5.7338e+05 1.0195e+06 5.8098e+05 1.0136e+06 6.9957e+05 8.0669e+05 9.2815e+05 6.3570e+05 8.1044e+05 5.8098e+05 1.0136e+06 6.6728e+05
  12.2500 6.9582e+05 5.3221e+05 9.4257e+05 5.3907e+05 9.3730e+05 6.4896e+05 7.4652e+05 8.6016e+05 5.8874e+05 7.4969e+05 5.3907e+05 9.3730e+05 6.1991e+05
  12.5000 6.4526e+05 4.9442e+05 8.7222e+05 5.0060e+05 8.6747e+05 6.0250e+05 6.9145e+05 7.9782e+05 5.4575e+05 6.9412e+05 5.0060e+05 8.6747e+05 5.7638e+05
  12.7500 5.9886e+05 4.5967e+05 8.0779e+05 4.6526e+05 8.0350e+05 5.5981e+05 6.4099e+05 7.4057e+05 5.0632e+05 6.4322e+05 4.6526e+05 8.0350e+05 5.3630e+05
  13.0000 5.5622e+05 4.2768e+05 7.4871e+05 4.3274e+05 7.4483e+05 5.2052e+05 5.9469e+05 6.8793e+05 4.7013e+05 5.9654e+05 4.3274e+05 7.4483e+05 4.9936e+05
  13.2500 5.1700e+05 3.9820e+05 6.9447e+05 4.0278e+05 6.9096e+05 4.8433e+05 5.5215e+05 6.3946e+05 4.3686e+05 5.5368e+05 4.0278e+05 6.9096e+05 4.6527e+05
